hostel_name,City,latitude,longitude,hostel_rating,hostel_landmark,hostel_votes,hostel_contact1,hostel_contact2,hostel_address,hostel_single_share,hostel_double_share,hostel_triple_share,hostel_type,air_conditioner,free_wifi,mess,cleaning_facility,security,hostel_reviews
Jai Ranjeet Girls Hostel,Indore,22.6974585,75.8712145,3.8,Tower Square; Indore,5Votes,9827600000,9827600000,81; Janki Nagar Extension; Janki Nagar; Indore; Madhya Pradesh 452001; India,10200,7000,5800,For Boys,NonAC,Wifi,Mess,NA,Security,reservation problems thought contacting property directly guess eat long distance charge purpose did n't dial kimpton general number desk make annual reservation thanksgiving weekend; did n't happen; connected did n't know country victoria b.c; come; said zip code did n't exist explain zip code postal codes different stayed 5 times felt service received bordering terrible; asked best possible rate advised 159; said book cheap tickets expedia lot n't price matched; hold ages came saying pulled strings rate want; feel like not going; stay service wine hour safety property agent needs head shake; not feel special; love email management;  
Jain Diwakar For Girls,Indore,22.7266713,75.8872403,2.9,Old Palasia; Indore,8Votes,0731 - 2537150,0731 - 2537150,AB Rd; near Sangam House; New Palasia; Indore; Madhya Pradesh 452001; India,NA,5150,4950,For Girls,NonAC,Wifi,Mess,Cleaning,Security,terrible hostel approximately 2 weeks ago april 25 2007 reservation hostel night 19 2007; wrote follow-up request reply advised reservation cancelled overbooking.i wote giving reservation number just wrote just saying sorry making no effort room nearby hostel; rhe emails brigeta operation manager; not written approximately 2 weeks stay positive left scrambe new hostel lobby inn queen anne.i practice unforgivable especially light having resevation number guarenteeing room 19 2007. point making advance reservations hostel suddenly cancel little advance notice sincerely greg scanlonsan francisco;  
Jain Girls Hostel,Indore,22.6857716,75.8639256,4,Bhawarkuan; Indore,7Votes,0731 - 2703981,4289914,Bholaram Ustad Market; Indore; Madhya Pradesh 452014; India,12000,7500,6800,For Girls,AC,Wifi,Mess,Cleaning,Security,absolutely charming good value stayed numerous hostels seattle characterless star chains suites westin olympic past 45 plus years; inn queen anne really stands crowd; just best value accommodation seattle; loved place; older converted brick apartment building loaded charm; enter pretty courtyard trees flowers; wonderful-smelling hallways stained-glass light fixtures wing-back chairs sprinkling antiques; rooms not large far tiny comfortable clean; standard queen; slightly larger rooms queen twin; junior suites bedroom suites; mission-style furnishings upscale expected star hostel; bath small cute pedestal sink gold mirror elegant light fixture; soaps; upscale towels not huge tremendously fluffy adequate expected; did n't use little kitchen certainly come handy lot people; room nice walk-in closet real surprise; queen-sized bed firm comfortable carpets newer clean; staff friendly accommodating free continental breakfast fresh good; parking street 10 hostel bargain seattle.i know writers complained hostel n't understand; place cute charming fun heck good deal; recommending friends 87 year-old mother; like same-same cookie-cutter not place; charm individuality slight touch refinement grace elegance fall love did;  
JAS PRAKASH BOYS HOSTEL,Indore,22.6969607,75.8668303,4,Bhawarkuan; Indore,8Votes,9993773990,9993773990,Ashok Nagar; Indore; Madhya Pradesh 452001; India,13000,10000,8000,For Boys,NonAC,Wifi,Mess,Cleaning,Security,loved sheraton towers seattle; great hostel great location; nicest rooms comfy beds; located blocks pike place public market shopping ideal; furla store; marla manger doll; lots great places shop eat; athenian market good; space needle cool dinner make worth; view killer food good; aquarium ok time; going sheraton f nice; nice staff; ask concierge coupons attractions; buses run downtown area free cool; no need rent car airport expensive use gray line bus forth airport.p.s; il bistro nice romantic restaurant;  
Jas Prakash For Boys,Indore,22.6967886,75.8656729,3.4,Bhawarkuan; Indore,7Votes,0731 - 4050038,4044600,3/4; Anjani Plaza; Bhawarkua Main Rd; Near ICICI Bank; Ashok Nagar; Indore; Madhya Pradesh 452001; India,NA,NA,2000,For Boys,NonAC,Wifi,Mess,Cleaning,Security,stay bellevue instead write review leisure traveller; hostel superb location beds super comfortable it.the valet parking 35.00 said; rooms not modern way starting 10 year old television; strikes odd lay-out bathroom; open door walk straight wall better sober; step shower foot toilet; not quiet hostel.the noise showers not allow fallback sleep awaken; noise doors closing compared door close 6 hour arguementwith girlfriend boyfriend foundations literallly shake.i n't know want stay hostel prices charged going spend money stay hyatt westin; budget stay bellevue hostels everybit nice better; recommend bellevue athletic club hyatt westin; taxi public transport town save money steak dinner ruth chris;  
JSP Princes Residency For Girls,Indore,22.6994747,75.8667118,3.4,Sapna Sangeeta Road; Indore,8Votes,0731 - 2363770,9425937700,30; Patel Nagar; Sneh Nagar Main Road Opp; Sapna Sangeeta Rd; Sindhi Colony; Indore; Madhya Pradesh 452001; India,NA,NA,6750,For Girls,NonAC,Wifi,Mess,Cleaning,Security,horrible customer service worst hilton possibly worst hostel; trying review guidelines feel important people know kinds business practices ran into.we stayed hilton nights second night having wedding reception hilton.all booking went smoothly room decent exectutive sweet not overpriced got discount having reception there.the problems arrived later reception short summary things happened.-elevators having issues night.-myself reception stuck lobby n't reception elevators not working key card given not working up-the dj closing party early party no staff locking room not allowing entrance gather belongs use reception room additional hour half booked contract-a hilton staff member challenging fist fight telling hit got aggravated insisted let up.-having head security apologize actions said staff member.-finally getting executive suite stay rest night.-having police wife assaulted hilton staff member tried fight putting hand getting security apologized us.-after police left hearing story hour later long elevators broken night manager security officer showed kick mentioned assault glad arrest n't made.-after threatening lawyers involved breach contract told stay.-getting 15 minutes later night manager apologize told work sort discount trouble.-waking morning finding double charged room parking vehicles not ours.-dealing people nice saying work getting charges reversed right back.-finding hilton additional charges not outlined contract consent-being told willing reverse small portion charges staff says story false.so end breached contract refused credit; not sure action burned abuse received;  
K.M. Girls Hostel,Indore,22.762337,75.90052,4,Vijay Nagar; Indore,9Votes,7869957087,9827222348,1; Part II; Shalimar Township; Indore; Madhya Pradesh 452010; India,9000,6900,5000,For Girls,AC,Wifi,Mess,Cleaning,Security,nice value seattle stayed 4 nights late 2007. looked comparable hilton marriott westin area points/miles n't gave monaco shot; pleasantly surprised nice room service quick tasty bed especially comfortable unlike people nothing positive things say service; downside relatively small exercise room treadmill heck east coast time ran person 5 days; definitely stay;  
K2k boys hostel ,Indore,22.6872338,75.8660294,4,Bhawarkuan; Indore,7Votes,9826200094,7771000231,401; Indra Puri Colony; Indrapuri Colony; Bhanwar Kuwa; Indore; Madhya Pradesh 452014; India,6500,6000,5500,For Boys,NonAC,Wifi,Mess,Cleaning,Security,great hostel avoid t-mobile hotspot hostel great stayed; friendly staff great location rooms really nice large; downside t-mobile hotspot drastically overcharged acted like doing favor rebating 1/2 overcharged pay double; advice use wired internet hostel run hostel not t-mobile;  
K2K For Boys,Indore,22.6917023,75.8659957,3.2,Bhawarkuan; Indore,6Votes,9584910000,9584910000,125 ; Bhawarkua square near gurjar hospital; Vishnu Puri Colony; Indore; Madhya Pradesh 452001; India,NA,"6,000","5,000",For Boys,NonAC,Wifi,Mess,Cleaning,Security,better expected; like people read reviews dreading experience no choice hostel pre-paid expedia; surprise room large clean comfortable albeit dated; hallways staircase smelled not major issue used thoroughfares; staff gentleman helpful card-key did not work try extra pillows requested delivered promptly; not luxury hostel better expected price paid fee parking worth given cost parking seattle;  
Kalp For Girls,Indore,22.7197259,75.9074173,3.2,Mahalaxmi Nagar; Indore,6Votes,7566863205,7566863205,8/2; Kanadia Main Rd; Bangali Chowk; Preethi Nagar; Indore; Madhya Pradesh 452016; India,NA,NA,3000,For Girls,NonAC,Wifi,Mess,Cleaning,Security,careful book; careful room type person; husband room double beds no kings available beds took room; lounge chairs struck corner n't really tv; going spending nights moved hostel bigger rooms inn harbor steps highly recommend.location central great shopping linens bed comfortable; staff nice n't change room;  
Karnawat For Boys,Indore,22.7577065,75.9145344,2.8,Bombay Hospital; Indore,5Votes,8085954486,9425065586,near Bombay Hospital; Sector R; Mahalaxmi Nagar; Indore; Madhya Pradesh 452010; India,3500,2000,NA,For Boys,NonAC,Wifi,Mess,Cleaning,Security,great location friendly staff stayed hostel easter throughly enjoyed time; superably located exploring seattle especially market rooms good size.the staff not friendly helpful reception area welcoming.our room exit stairwell night hear rumbling assume like air conditioning pipes;  
Kirti Boys Hostel,Indore,22.6741666,75.8797823,4.3,Bhawarkuan; Indore,8Votes,0731 - 2497225,0731 - 2497225,Khandwa Rd; Sant Nagar; Indore; Madhya Pradesh; India,9000,7000,5000,For Boys,NonAC,Wifi,Mess,Cleaning,Security,pay read reviews booked knew getting; mind n't surprised; fact better expected; yes rooms outdated towels floormat limited cable tv overall lack amenities use hostel; reviewer said like budget overseas hostel stayed similar condition just enjoyed experience; check desk service great; asked extra pillows maid got; spent 5 flowers pike street added character room.location; friends stayed fairmont street stayed 3 nights night cost; money went dinners trip victoria baseball games;  
Krishna For Boys,Indore,22.7136061,75.8781544,3.8,M Y Hospital; Indore,9Votes,8871390009,9753041434,CRP Line; Indore; Madhya Pradesh 452001; India,NA,6000,NA,For Boys,NonAC,Wifi,Mess,Cleaning,Security,great boutique hostel great boutique hostel located financial district seattle just 10 minute walk pike place market; maybe not best place stay want right middle action; vintage park great restaurant wine tastings right hostel; want stay little quieter area close excitement seattle definitely recommend vintage park; rooms awesome really comfortable beds large bathroom beautiful decor;  
Krishna For Girls,Indore,22.75252,75.8989121,2.6,Vijay Nagar; Indore,5Votes,9752111118,9630784804,42; Maa Ambika Nagar Behind Mangal City Mall Near Vijay Nagar; Bhagyashree Colony; Indore; Madhya Pradesh 452010; India,"3,000","5,100","2,000",For Girls,NonAC,Wifi,Mess,Cleaning,Security,pile drivers door begin 4 luckily got room priceline 125 unluckily locked nights; changed hostels night; 17th 40 floors; north tower facing sound; space needle right directly new building going; pile drivers sound groaning crane began 4; ear plugs not drown sound; make sure ask room know facing way; new building 10th floor write looks like going; booking time september ask; weekends ok. mon wed.another issue lack little fridge; minibar really stuck want save dime having snacks; want eat restaurant coldwater grill; raining hard opted eat; pricey wonderful dish..ravioli stuffed peas ricotta bed really fresh broccolini; commented place fancy fluffy beds good views huge impersonal corporate feel;  
Krishnashray Boys Hostel,Indore,22.6619182,75.823487,3.75,Vijay Nagar; Indore,7Votes,7566661404,8982830392,123; AB Rd; Gamle Wale Puliya; Royal Krishna Bunglows; Indore; Madhya Pradesh 453331; India,5000,6000,8000,For Girls,NonAC,Wifi,Mess,NA,NA,nice hostel; good check fast staff friendly; breakfast cafe good expensive.the rooms clean beds comfortable; hostel centrally located walking distance quite attractions; 12 year old son loved indoor pool; floor great views; hung night.the bad; traffic east freeway terrible; 23rd floor hear night; n't request room change light sleeper bother you. 23.00 night parking ridiculous; stay got good deal;  
Kyra Boys Hostel,Indore,22.7571261,75.888992,4.5,Vijay Nagar; Indore,8Votes,9111110516,9111110516,165; near Prestige School & Allen Coaching; Vijay Nagar; Sector DK1; Scheme No 74C; Indore; Madhya Pradesh 452001; India,2000,2000,2000,For Boys,NonAC,NonWifi,Mess,Cleaning,Security,not bad location unmatchable price range; simple sleeping room 80 expect pay 2x; surprisingly cleaner hostels seen past week driving la staying travelodge days inn motel 6. quality furnishings high; sure little run spots just old building usual character flaws none affected comfort; lucky corner room especially nice look w know paying 250+/night; bath worked n't care watch tv vacation no idea worked want believe comments feel free; mean room come;  
Lakshya For Girls,Indore,22.6863729,75.8634888,3.2,Bholaram Ustad Marg; Indore,5Votes,0731 - 4902927,0731 - 4902927,Bholaram Ustad Marg; Bholaram Ustad Market; Brahmapuri Colony; Bhanwar Kuwa; Indore; Madhya Pradesh 452014; India,NA,3700,3000,For Girls,NonAC,Wifi,Mess,Cleaning,Security,single rooms like hospital rooms single rooms hostel sparse intentional know ugly like trapped hospital white walls sink basin room small rectangle shape.the beds hard rocks blankets rough really noisy.this overrated hostel stayed fan stype hostels;  
Lal Kamal Girls Hostel,Indore,22.6911173,75.8670545,3.5,Bhawarkuan; Indore,8Votes,0731 - 2572378,0731 - 2572378,C 25; Bhawarkua Main Rd; Indrapuri Colony; Bhanwar Kuwa; Indore; Madhya Pradesh 452014; India,9000,5500,5000,For Girls,NonAC,Wifi,Mess,Cleaning,Security,old dumpy place problems head starts spinning thinking start; got like 10pm check-in told park street cuz no parking left lot; room tiny carpet dirty spots; room came kitchen nasty used; especially fridge time opened nasty odor rotten vegetables gushed fridge filled entire room; day night hear people talking walking stairwell right outside; noise streets right outside window substantial; just no sound insulation place; bathroom surprisingly clean room appeared well-kept; shower pressure horrible stay ran hot water twice; fact morning took cold shower basically start end; desk staff generally nice; guy completely uncaring unhelpful not sure problem; thing liked place ceiling fan walk-in closet; paid 100/night place suppose reasonable seattle center area; pay 40 night stay holiday inn express; basically ca n't recommend place;  
Lalmani For Girls,Indore,22.754501,75.9035451,4.1,Bombay Hospital; Indore,12Votes,0731 - 4244737,9826064564,IDA Scheme; No.94; 95; Eastern Ring Rd; Tulsi Nagar; Vijay Nagar; Indore; Madhya Pradesh 452010; India,NA,NA,5700,For Girls,NonAC,Wifi,Mess,Cleaning,Security,impressed entranced edgewater great location close excellent restaurants newly remodeled elliot fantatstic beautiful walking/jogging waterfront park door.great service bellman offered shuttle restaurants car arrived fast desk moved rooms quickly bit noisy fog horn/train bellman got cup hot tea morning no charge waiting jogging partner; helpful wanting please.the room fantastic all-new bathroom slate floors shower big claw foot tub shoji screens sit bath look water flip-on fireplace furry footrest comfy chairs good size desk adequate plugs wifi 7/hr 10/day amenities room iron/board coffee maker hairdryer lighted makeup mirror high quality towels bedding shampoo; bar/restaurants gorgeous water great meeting place business pleasure.the price wow just 149/night hotwire.the smell; lookout moldy smell tripadvisor reviews none.only complaints exercise room small 3 4 cardio machines; accessible 24 hours;  
Lav Kush For Boys,Indore,22.7141604,75.8739021,2.8,M G Road; Indore,6Votes,9893072835,9926039045,3; S Tukoganj Rd; Slice 2; South Tukoganj; Indore; Madhya Pradesh 452001; India,NA,NA,4200,For Boys,NonAC,Wifi,Mess,Cleaning,Security,waterview room balcony worth money; husband stayed edgewater recent visit seattle; booked room travel agent not sure expect; outside hostel not look room stayed spectacular; wow view; waterfront room private balcony overlooking elliott bay; heard occasional seagulls; evening sunsets breathtaking; sailboats cargo boats tugboats cruising bay; view olympic mountains downtown seattle; dont know rooms perfect; note like add day appeared commons areas hostel little dirty maybe high occupancy day clean tidy;  
Looks For Girls,Indore,22.6901345,75.8676187,2.7,Bhawarkuan; Indore,7Votes,9425900697,8821867000,124; Indrapuri Colony Main Rd; Indrapuri Colony; Bhanwar Kuwa; Indore; Madhya Pradesh 452001; India,NA,5900,5400,For Girls,NonAC,Wifi,Mess,Cleaning,Security,great hostel stayed sheraton town wedding church reception close hostel; little did know booked hostel close seattle attractions; hostel located downtown near shopping; monterail blocks away space needle; pike place market throw fish 5 blocks 15 min walk; did not rent car wanted walking distance.we took taxi hostel sea-tac airport; 15-20 min drive cost 35; want cheaper bus 10.25 person.we arrived hours check-in time; not problem room ready; 29th floor beautiful view city; recommend hostel really liked; free internet guests; complaint bathroom sink drain broken service restaurant not good; definitly stay;  
Maa Ashirwad For Boys,Indore,22.7181005,75.8846002,3,Geeta Bhawan; Indore,7Votes,0731 - 2495012,9424083663,202 Apollo trade center AB Road Manormaganj Area 2-B; Rajgarh Kothi Geeta Bhawan Square; A.B.Road on; BRTS; above Karur Vysya Bank/Allen; Rajgarh Kothi; Manorama Ganj; Indore; Madhya Pradesh 452001; India,NA,NA,2200,For Boys,NonAC,Wifi,Mess,Cleaning,Security,great hostel great location family-friendly stayed oct 07 dec 07 stay night; times enjoyed stay hostel top-notch.the oct girlfriends getaway weekend; double-queen rooms right; tower used jacuzzi/pool tower; feel little silly walking entire lobby wearing white bathrobe oh dec stay annual christmas night seattle kids; checked run kids goodie bags gave free in-room movie credit; executive suite like rooms joined; living room area sofa tv desk pull-down bed bath; open adjoining doors sets enter bedroom king bed desk sofa bath; kids loved having room thought pull-down bed pretty cool comfy; brought little crib 2 yr old use nice; donned bathrobes alas no little robes kids like fairmont does used pool/jacuzzi kids blast; bought snacks sundries shop downstairs actually reasonably priced; spending evening town came good night rest santa brunch day macy; kids sacked pretty rooms well-insulated hostel noise street noise 35th floor; sacked bed n't heavenly beds nothin; incredibly comfortable bed holy cow; kept curtains open downtown views fantastic; watched flat-screen tv bed really cool personal lights reading great; good romance good resting hostel staff friendly helpful stored luggage day checked did shopping; location great market westlake center big department stores pacific place belltown blocks; recommend eating lola just blocks; pot donuts just blocks.we definitely come; holidays special promo executive suite 350 incl 200 gift card pacific place use shop; felt like got room just 150;  
Maa Narmada Nimar Girls hostel,Indore,22.691486,75.8627395,4.1,Bhawarkuan; Indore,9Votes,9826082392,9425054749,196; Vishnupuri Nx Colony; Vishnu Puri Colony; Indore; Madhya Pradesh 452001; India,9000,5300,5000,For Girls,NonAC,Wifi,Mess,Cleaning,Security,great location staff location price make older hostel good choice; staff friendly; looking modern place not; old studio apartment building run hostel; great neighborhood close great local resturants; hostel does not sterile tourist feeling newer mid range hostels; feels like small european hostel; yes rooms use little moderizing compermise; just reservations stay;  
Maa Sharda For Boys,Indore,22.7978797,75.8453795,2.3,Arbindo Hospital; Indore,6Votes,8719067068,8719067068,Indore Ujjain; State Highway; Bhawrasla; Indore; Madhya Pradesh 452007; India,2000,3000,NA,For Boys,NonAC,Wifi,Mess,Cleaning,Security,agree worst hilton; absolute worst hilton stayed; gold hh members travel lot absolute worst hilton world; leg week vacation 10 year old daughter took hilton properties south lake tahoe ca way whistler bc; rate hiltons excellentfirst charge 9.95 night use internet room; free wireless internet available executive lounge small converted guest room lobby; went executive lounge comical; business people packed elbow elbow laptops using free internet eating drinking free food; sight; sure de-congest executive lounge did n't charge internet stayed hilton honors floor noticed dirty dishes newspapers hall n't picked days there.the excercise room size walk closet treadmills stepper jammed there.the people provided sort customer service bellmen; desk personnel management delt no customer service skills.my car parked hilton garage window smashed car ransacked; hilton security simply left business card smashed window took time sweep glass ground; discovered hilton security knew car broken let sit smashed window days; did notify; no; series failures hilton staff touch seattle hilton director security; asked n't notified car broken; response not policy not parking manual; hilton honors stated gm contact monday; wednesday no response; finally drafted lenghty letter hilton corporate hq regarding seattle hilton;  
Madhur For Boys,Indore,22.761438,75.87025,3.2,Bapat Square; Indore,6Votes,9826660019,8770718271,Veena Nagar; Heera Nagar; Sukhlia; Indore; Madhya Pradesh 452010; India,NA,7000,NA,For Boys,NonAC,Wifi,Mess,Cleaning,Security,seattle gem; great updated historic hostel great hostel great location; walk pike market space needle monorail waterfront shopping bars restaurants no time flat; hostel does not amenities luxury hostels in-house spa pool lot character style old luxury hostels like drake chicago; unlike reviews hostel staff extremely friendly helpful maybe management responded negative feedback; complaints street noise weekday commute hours windows need better insulation room keys kept demagnetizing; suite spacious comfortable; fact slept comfortable cozy bed; bathroom small cute art deco-like; decor general new ikea inspired; valet parking quick efficient friendly asked needed directions; highly recommend lola located lobby breakfast nightcap; absolutely no onion smell; definitely stay;  
Mahesh Blind For Girls & School,Indore,22.7555131,75.897785,2.7,Bombay Hospital; Indore,6Votes,0731 - 2554757,,Scheme No. 54; A.B. Road; Vijay Nagar; Scheme No 54; Indore; Madhya Pradesh 452010; India,NA,6000,5000,For Girls,NonAC,Wifi,Mess,Cleaning,Security,hostel monaco great location service hostel monaco centrally located provides excellent service; recently stayed 4/23-5/1; originally checked slight problem informed booked queen beds expedia room king bed; fortunately fellow guest checking time swapped rooms; future reference booking expedia recommend double checking hostel ensure receive correct room; staff stated better book hostel directly match online rates; additionally concierge marco helpful; sat night called salty make reservations brunch day informed no seats available; following day concierge called restaurant hours wanted dine able book table 5 great window view; hostel blocks away pike place market seattle art museum shopping district walking distance space needle experience music project attractions; ammenities services provided hostel include pet goldfish wine tasting yoga mat use room; seattle recommend taking helicopter tour mt; st. helens hoffstadt visitor center;  
Maheshwari For Girls,Indore,22.7087654,75.876985,3.3,Chhawani; Indore,8Votes,9425903260,9425064600,18; 4; Ushaganj; Chhawni; Indore; Madhya Pradesh 452001; India,NA,4500,4300,For Girls,NonAC,Wifi,Mess,Cleaning,Security,noisy room room beautiful killer view right ballrooms wedding reception going; wife took 40th birthday supposed romantice evening away kids; got noisy 11:00 evening listening muffled 70 music people dancing; manager n't budge giving compensate bad experience; did offer smaller room; stay; stay friday saturday night ask stay far away ballroom possible;  
Maheshwari For Girls,Indore,22.6568749,75.8859585,3.3,Chhawani; Indore,10Votes,9425903260,9425064600,10; 8; Ushaganj; Chhawni; Indore; Madhya Pradesh 452001; India,NA,4500,4300,For Girls,NonAC,Wifi,Mess,Cleaning,Security,dump stayed weekend expected charming 1929 property based web-site reviews expedia; did n't expect charming mean incompetent staff showers randomly scalding cold medium pressure just trickle tacky acoustic ceilings moldy non-functional windows shower no screens windows no a/c having room left unlocked maid service having wait 18 hours iron gave 30 minutes make wedding having car 8am parking thought desk reality n't etc. etc.expedia apparantly wo n't publish negative reviews like gather having tried 3 times publish on-line calling customer service exchanging e-mails; beware reviews expedia especially beware hostels like;  
Matra Pitra kripa Bhawan,Indore,22.717592,75.861827,3,Chhawani; Indore,8Votes,9826200390,9826290390,101; Ranipura Main Rd; opp. Bhaiyya Ji Pyao; Jagjivan Ram Mohalla; Nayi Bagad; Ranipura; Indore; Madhya Pradesh 452002; India,5000,4500,4000,For Boys,NonAC,NonWifi,NA,NA,NA,ahead reserve n't said; did n't actually stay mad hardly straight; called confirm phone reservations despite hesitation reviews; booked talked marilyn assured updated room newer beadspreads facing space needle w/an actual room; called 5 days prior date reservation thank god did told heavy accented man not guarantee rooms somebody staying; yea like; n't reasons make reservations; said just cancell right let felt taking big risk staying place; bad customer service person; writing charges credit card information;  
Matrachaya,Indore,22.7332236,75.8916546,5,LIG Square; Indore,4Votes,0731 - 4225100,2571144,180; LIG Link Rd; Anoop Nagar; Indore; Madhya Pradesh 452011; India,NA,4500,3500,For Girls,NonAC,Wifi,Mess,Cleaning,Security,comfortable stay hostel andra just returned home business trip ended nights hostel andra; booked andra suite just right size; loved walk closet nice bags flipped open room; couch super comfy watching tv end day; touches liked length dressing mirror ca n't beat comfortable bed; bathroom tiny despite modern upgrades dated water shower got hot prefer; not missed restaurant downstairs; ate 3 times delicious especially order donuts mascarpone cheese; bar makes great drinks;  
Maya Devi For Boys,Indore,22.7168266,75.8904021,2.9,Geeta Bhawan; Indore,10Votes,0731 - 4038920,9425074000,13/14A; Seva Sardar Nagar; Indore; Madhya Pradesh 452001; India,6000,6000,5000,For Boys,NonAC,Wifi,Mess,Cleaning,Security,nice rooms not 4* experience hostel monaco seattle good hostel n't 4* level.positives large bathroom mediterranean suite comfortable bed pillowsattentive housekeeping staffnegatives ac unit malfunctioned stay desk disorganized; missed 3 separate wakeup calls; concierge busy hard touch; did n't provide guidance special requests.tv hard use ipod sound dock suite non functioning. decided book mediterranean suite 3 night weekend stay 1st choice rest party filled; comparison w spent 45 night larger square footage room great soaking tub whirlpool jets nice shower.before stay hostel arrange car service price 53 tip reasonable driver waiting arrival.checkin easy downside room picked 2 person jacuzi tub no bath accessories salts bubble bath did n't stay; night got 12/1a checked voucher bottle champagne nice gesture fish waiting room; impression room huge open space felt room big; tv far away bed chore change channel; ipod dock broken disappointing.in morning way asked desk check thermostat said 65f 74 2 degrees warm try cover face night bright blue light kept; got room night no; 1st drop desk; called maintainence came look thermostat told play settings happy digital box wo n't work; asked wakeup 10am morning did n't happen; called later 6pm nap wakeup forgot; 10am wakeup morning yep forgotten.the bathroom facilities great room surprised room sold whirlpool bath tub n't bath amenities; great relax water jets going;  
Meenakshi For Girls,Indore,22.6919473,75.8660795,3,Bhawarkuan; Indore,8Votes,0731 - 2468011,0731 - 2468011,2-3; Scheme No. 44; Bhawarkua Square; AB Rd; Vishnu Puri Colony; Indore; Madhya Pradesh 452001; India,"4,200","3,200",NA,For Girls,NonAC,Wifi,Mess,Cleaning,Security,stayed saturday night stop flying home day; floor overlooking expressway; hear noise; restaurants walked square 4 blocks hostel nothing open 2000 saturday hostel restaurants decided not good choice; bed comfortable; today checking bank statements unexplained 104 charge credit card; real test phone calls correct mistake really just hostel; nothing special bit isolated close expressway;  
Meenu Girls hostel,Indore,22.7372079,75.8900928,3,LIG Square; Indore,5Votes,9993332176,9981912176,D 19; HIG Colony; Indore; Madhya Pradesh 452011; India,9000,6800,6200,For Girls,AC,NonWifi,Mess,Cleaning,NA,not worth high price stayed saturday night double deluxe; base price room 318 taxes closer 375; price expecting really nice n't it.when checked desk person really disinterested barely spoke taken aback handed room keys word; said room elevators amenities blah blah blah; checked day different desk person said barely word; weird not kind service expect pricey hostel.the room somewhat shabby; carpet old tacky looking stains; sofa room brown velvet piece seen better days; beds fine; room advertises dvd/cd player; tried play cd n't work; called desk rings picked told maybe cords come undone tv; wanted muck cords figure tv bolted armoire ca n't really reach hand; ordered room service; phone rang times answered; food pretty plain example 15 panini bread dry bread; room comes goodie basket minibar yes guessed mini bar key took forever answer phone; disappointed n't free goodies room; mean doubletree cookie 30 hostel come pay cookie 300 hostel; closet animal print terry cloth robes washed times extremely faded pairs socks welcome additional 11 pair; gripe room bathroom small.overall place okay not looking money spent; altogether spent 450 time spend classier place;  
My Choice For Girls,Indore,22.754501,75.9035451,2.4,Bombay Hospital; Indore,10Votes,7747858700,7747858700,IDA Scheme; No.94; 95; Eastern Ring Rd; Tulsi Nagar; Vijay Nagar; Indore; Madhya Pradesh 452010; India,NA,4000,3500,For Girls,NonAC,Wifi,Mess,Cleaning,Security,stay liked good rate hostel room 24th floor; great view; room nice clean liked sleep aid includes dvd lavender spray pillows eyemask earplugs; did n't notice noise walked baseball game maybe tired; staff helpful friendly; stay seattle somewhat frequently business stay; parking expensive seattle..welcome city;  
My choice girls hostel,Indore,22.6862625,75.8683594,4.4,Bhawarkuan; Indore,8Votes,9893072835,9926039045,MVP9+G85 Indore; Madhya Pradesh; India,9500,9000,8000,For Boys,AC,Wifi,Mess,Cleaning,Security,u. inn convenient traveled seattle july stayed university inn 7 nights; liked lot; nights noises door shower early morning bothered requested change room; desk staff helpful gave room 4th floor; completely solved problem love free shuttle-bus service; traveling did n't want rent car shuttle bus took basically local attractions including space needle downtown seattle zoo; driver chat guests provided good information; runs hour really great way city.the complimentary breakfast use improvement; no hot foods unless make waffle easy heat bread microwave; experiences hostel positive;  
N R For Girls,Indore,22.7286632,75.8852936,2,New Palasia; Indore,7Votes,0731 - 2490162,0731 - 2490162,5/6; Jimnaz Villa; Chappan Dukaan Marg; New Palasia; behind Dhobi Ghat; New Palasia; Indore; Madhya Pradesh 452001; India,NA,"5,500",NA,For Girls,NonAC,Wifi,Mess,Cleaning,Security,miss; stayed hostel friend weekend 19th-21st september; stayed recommended friend book basis stay reasonable; definitely not case time; disappointing things weekend executuve hostel pacific placed room directly opposite elevators 5th floor; noise elevators guests returning home early hours morning loud usually heavy sleeper hear clearly night; cleaning staff racket morning difficult sleep past 7am.2.we specific online request small fridge room medications; obviously ignored online pleas checked; previously similar hostels offered small portable fridge/cooler exact purpose.3; air conditioning did work turn produced worrying burning smell turned not used weeks; tried open window stuck open cm try let cool fresh air stuffy room.4; bathroom small size n't main issue; shower head virtually no pressure toilet noisy time flushed hear toilets adjacent rooms quite clearly; old poor plumbing.5; suggested desk staff reasons said fully booked night change rooms second night; agreed; presented desk new room day new staff member stated nothing documented book room change booked not help; fact freely admitted just used room guest checked minutes overbooked rooms 4 guests check-in; not imagine reputable hostel does admits guests; glad check-out not returning hostel; time gladly pay extra dollars decent hostel room service;  
Neha Girls Hostel,Indore,22.6945715,75.8674109,3.6,Bhawarkuan; Indore,7Votes,7566661404,8982830392,39; Bhawarkua Main Rd; Bhawarkua; Navlakha; Indore; Madhya Pradesh 452001; India,12000,9000,8000,For Girls,AC,Wifi,Mess,Cleaning,Security,loved moore hostel; just got night stay moore hostel seattle; 65 night paid amazing deal; room 6th floor views bay; room large clean quiet somewhat dark staff friendly helpful; drawback clawfoot tub bathroom no decals bathmat not careful bit slippery; desk does not provide bath mats spend bucks; location really convenient just blocks pike place market easy walking distance pioneer square main shopping area location catch tourist buses cruises; metro bus 1.25 2.00 depending time day airport just blocks away; definitely stay seattle prices certainly afford;  
